道具,品阶,道具分类,适用职业,掉落来源(怪物),地图,刷新点位,道具属性,掉落概率,是否可制作,制作材料
武器魔法卷轴,普通,材料,全职业,死亡骑士的亡灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死亡骑士的亡灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死亡骑士的亡灵[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死亡骑士的亡灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
武器魔法卷轴,普通,材料,全职业,死神僵尸魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神僵尸魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
木材,普通,材料,全职业,死神思克巴女皇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神思克巴女皇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神思克巴女皇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神思克巴女皇[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神思克巴女皇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神梅杜莎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神梅杜莎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神梅杜莎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神梅杜莎[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神梅杜莎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神梦魇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神梦魇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神梦魇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神梦魇[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神梦魇[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神火焰弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神火焰弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神火焰弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神火焰弓箭手[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神火焰弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神蛇女[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神蛇女[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神蛇女[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神蛇女[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神蛇女[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
必灭者的精髓,普通,材料,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
灵魂耳环,普通,防具,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 25; 最大MP&固定值: 10; 物理防御力（AC）: 3,0.08%,否,
骨头,普通,材料,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅盾牌,普通,防具,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 3,0.4%,否,
骷髅项链,普通,防具,全职业,死神骷髅狙击兵[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 2,0.4%,否,
必灭者的精髓,普通,材料,全职业,死神骷髅骑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
灭魔戒指,普通,防具,全职业,死神骷髅骑士[测试],未知刷新点/活动怪物,未知刷新点,魔法防御（MR）: 10,0.08%,否,
骨头,普通,材料,全职业,死神骷髅骑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅头盔,普通,防具,全职业,死神骷髅骑士[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 3,0.4%,否,
骷髅盔甲,普通,防具,全职业,死神骷髅骑士[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 5,0.4%,否,
木材,普通,材料,全职业,死神鬼灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,死神鬼灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,死神鬼灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,死神鬼灵[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,死神鬼灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残忍的梦之亡魂[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残忍的梦之亡魂[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残忍的梦之亡魂[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残忍的梦之亡魂[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残忍的梦之亡魂[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
武器魔法卷轴,普通,材料,全职业,残根曼陀罗草[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残根曼陀罗草[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
木材,普通,材料,全职业,残酷的冰原老虎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,残酷的冰原老虎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的冰原老虎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的冰原老虎[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的冰原老虎[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的哈维[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的哈维[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的哈维[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的哈维[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的哈维[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的恶灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的恶灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的恶灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的恶灵[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的恶灵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的烈炎犬[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的狼蛛[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
老旧的身体腰带,普通,防具,全职业,残酷的狼蛛[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的狼蛛[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
传说武器制作秘笈,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,精灵神射手之弓 x1 (概率: 65.0%)
传说武器制作秘笈碎片,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
传说防具制作秘笈,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,贺洛斯臂甲 x1 (概率: 65.0%)
传说防具制作秘笈碎片,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
传说饰品制作秘笈,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,传说饰品制作秘笈碎片 x15 (概率: 100.0%)
传说饰品制作秘笈碎片,传说,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
智力T恤,普通,防具,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 1; 魔法伤害: 1; 智力: 1,0.01%,是,"材料ID:2041,2703,2097,2729 x1,80,240,30 (概率: 100.0%)"
智力胫甲,普通,防具,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 5; 智力: 1,3.333333%,是,"材料ID:2036,2578,2096,2741 x1,84,336,36 (概率: 100.0%)"
武器魔法卷轴,普通,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,100%,否,
武器魔法卷轴,普通,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,100%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
稀有武器制作秘笈,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有武器制作秘笈碎片 x50 (概率: 100.0%)
稀有武器制作秘笈碎片,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
稀有防具制作秘笈,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有防具制作秘笈碎片 x50 (概率: 100.0%)
稀有防具制作秘笈碎片,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
稀有饰品制作秘笈,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有饰品制作秘笈碎片 x50 (概率: 100.0%)
稀有饰品制作秘笈碎片,稀有,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄武器制作秘笈碎片,英雄,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
魔法书（弱化）,普通,技能书,全职业,残酷的艾丽丝[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0008%,否,
木材,普通,材料,全职业,残酷的艾库阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的艾库阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的艾库阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的艾库阿兹特[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的艾库阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的莱肯[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
老旧的身体腰带,普通,防具,全职业,残酷的莱肯[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的莱肯[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的萨德司卡[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的萨德司卡[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的萨德司卡[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的萨德司卡[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的萨德司卡[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的萨德提欧[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的萨德提欧[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的萨德提欧[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的萨德提欧[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的萨德提欧[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的萨德阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的萨德阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的萨德阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的萨德阿兹特[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的萨德阿兹特[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,残酷的阿西塔基奥[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的阿西塔基奥[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的阿西塔基奥[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,残酷的阿西塔基奥[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,残酷的阿西塔基奥[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
完整的骨头,普通,材料,全职业,残酷的骷髅剑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.026667%,否,
武器魔法卷轴,普通,材料,全职业,残酷的骷髅剑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的骷髅剑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
骨头,普通,材料,全职业,残酷的骷髅剑士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅盔甲,普通,防具,全职业,残酷的骷髅剑士[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 5,0.4%,否,
完整的骨头,普通,材料,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.026667%,否,
木材,普通,材料,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
骨头,普通,材料,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅头盔,普通,防具,全职业,残酷的骷髅弓箭手[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 3,0.4%,否,
武器魔法卷轴,普通,材料,全职业,残酷的骷髅斧兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的骷髅斧兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
完整的骨头,普通,材料,全职业,残酷的骷髅枪兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.026667%,否,
武器魔法卷轴,普通,材料,全职业,残酷的骷髅枪兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的骷髅枪兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
骨头,普通,材料,全职业,残酷的骷髅枪兵[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅盔甲,普通,防具,全职业,残酷的骷髅枪兵[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 5,0.4%,否,
完整的骨头,普通,材料,全职业,残酷的骷髅魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.026667%,否,
武器魔法卷轴,普通,材料,全职业,残酷的骷髅魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,残酷的骷髅魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
骨头,普通,材料,全职业,残酷的骷髅魔法师[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.1%,否,
骷髅项链,普通,防具,全职业,残酷的骷髅魔法师[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 2,0.4%,否,
木材,普通,材料,全职业,毒蛙[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,毒蛙[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,毒蛙[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,毒蛙[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,毒蛙[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,水晶高仑[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,水晶高仑[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,水晶高仑[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,水晶高仑[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,水晶高仑[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
传说武器制作秘笈,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,精灵神射手之弓 x1 (概率: 65.0%)
传说武器制作秘笈碎片,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
传说防具制作秘笈,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,贺洛斯臂甲 x1 (概率: 65.0%)
传说防具制作秘笈碎片,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
传说饰品制作秘笈,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,传说饰品制作秘笈碎片 x15 (概率: 100.0%)
传说饰品制作秘笈碎片,传说,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
智力T恤,普通,防具,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 1; 魔法伤害: 1; 智力: 1,0.01%,是,"材料ID:2041,2703,2097,2729 x1,80,240,30 (概率: 100.0%)"
智力胫甲,普通,防具,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,物理防御力（AC）: 5; 智力: 1,3.333333%,是,"材料ID:2036,2578,2096,2741 x1,84,336,36 (概率: 100.0%)"
武器魔法卷轴,普通,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,100%,否,
武器魔法卷轴,普通,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,100%,否,
盔甲魔法卷轴,普通,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
稀有武器制作秘笈,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有武器制作秘笈碎片 x50 (概率: 100.0%)
稀有武器制作秘笈碎片,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
稀有防具制作秘笈,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有防具制作秘笈碎片 x50 (概率: 100.0%)
稀有防具制作秘笈碎片,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
稀有饰品制作秘笈,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,是,稀有饰品制作秘笈碎片 x50 (概率: 100.0%)
稀有饰品制作秘笈碎片,稀有,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄武器制作秘笈碎片,英雄,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.01%,否,
魔法书（弱化）,普通,技能书,全职业,水精灵王[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0008%,否,
木材,普通,材料,全职业,水葬的海贼奴隶[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,水葬的海贼奴隶[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,水葬的海贼奴隶[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,水葬的海贼奴隶[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,水葬的海贼奴隶[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,水龙守护者[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,水龙守护者[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,水龙守护者[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,水龙守护者[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,水龙守护者[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
木材,普通,材料,全职业,水龙战士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.4%,否,
武器魔法卷轴,普通,材料,全职业,水龙战士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,水龙战士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,水龙战士[测试],未知刷新点/活动怪物,未知刷新点,最大HP&固定值: 30,0.4%,否,
魔物的精髓,普通,材料,全职业,水龙战士[测试],未知刷新点/活动怪物,未知刷新点,无属性,0.0001%,否,
